Variable,Missing_Percentage
PAD800,0.4558923705722071
FNQ520,0.43690395095367845
OHQ680,0.3354904632152589
AUQ101,0.3354904632152589
OHQ660,0.3354904632152589
OHQ670,0.33540531335149865
OHQ640,0.33540531335149865
OHQ630,0.33540531335149865
MCQ160M,0.3353201634877384
MCQ160F,0.3353201634877384
MCQ560,0.33523501362397823
MCQ160L,0.33523501362397823
MCQ550,0.33523501362397823
MCQ160A,0.33523501362397823
MCQ160C,0.33523501362397823
MCQ160E,0.33523501362397823
KIQ022,0.33523501362397823
AUQ144,0.33523501362397823
MCQ220,0.33523501362397823
MCQ160P,0.33523501362397823
MCQ160B,0.335149863760218
MCQ160D,0.335149863760218
DIQ160,0.31692779291553136
PUQ110,0.3161614441416894
PUQ100,0.3161614441416894
SMQ020,0.3073058583106267
PAD790Q,0.3073058583106267
FNQ530,0.307050408719346
PAD680,0.307050408719346
PAD810Q,0.30696525885558584
FNQ510,0.3068801089918256
FNQ490,0.30679495912806537
FNQ480,0.30679495912806537
FNQ470,0.30679495912806537
FNQ410,0.3067098092643052
FNQ440,0.3067098092643052
FNQ450,0.3067098092643052
FNQ460,0.3067098092643052
FNQ430,0.30662465940054495
FNDAEDI,0.30662465940054495
FNDADI,0.30662465940054495
PAD810U,0.30577316076294275
PAD790U,0.30577316076294275
DIQ180,0.29291553133514986
SLD013,0.2858480926430518
SLD012,0.28576294277929154
OCD150,0.2775034059945504
WHQ070,0.2774182561307902
DBQ935,0.2774182561307902
DBQ930,0.2774182561307902
DBQ945,0.2774182561307902
WHD010,0.2774182561307902
WHD020,0.2774182561307902
WHD050,0.2774182561307902
DBQ940,0.2774182561307902
BPQ101D,0.27639645776566757
BPQ080,0.27639645776566757
BPQ020,0.27639645776566757
SLQ330,0.2761410081743869
SLQ320,0.2761410081743869
SLQ310,0.2761410081743869
SLQ300,0.2761410081743869
ACD010A,0.26779632152588556
INDFMMPI,0.2471900544959128
SMAQUEX2,0.23237397820163488
INDFMMPC,0.12329700272479564
INQ300,0.12295640326975477
HOD051,0.11103542234332425
SMD460,0.10967302452316076
HUQ042,0.10396798365122616
HEQ010,0.08957765667574932
HIQ210,0.07867847411444141
HUQ090,0.04896117166212534
Diabetes,0.02486376021798365
IMQ011,0.015241825613079019
RXQ033,0.00212874659400545
HIQ011,0.0019584468664850135
OHQ620,0.0004257493188010899
OHQ845,0.0004257493188010899
AUQ054,0.0003405994550408719
EverTold_Diabetes,0.0003405994550408719
MCQ053,0.00025544959128065393
MCQ010,8.514986376021798e-05
AGQ030,8.514986376021798e-05
HUQ030,0.0
HUQ010,0.0
HUQ055,0.0
SEQN,0.0
