Variable,Missing_Percentage
EverTold_CongestiveHeartFailure,0.335149863760218
EverTold_Angina,0.335149863760218
EverTold_Prediabetes,0.31692779291553136
ChemicalProductsUsedInHomeForPestControl,0.3161614441416894
ChemicalProductsUsedInLawnGarden,0.3161614441416894
SmokedAtLeast100CigarettesInLife,0.3073058583106267
Frequency_ModerateActivity,0.3073058583106267
SittingTime_TypicalDay,0.307050408719346
FrequencyDepressed,0.307050408719346
Frequency_VigorousActivity,0.30696525885558584
FrequencyWorriedAnxious,0.3068801089918256
DifficultyLiftingWeight_Level,0.30679495912806537
DifficultySelfCare_Level,0.30679495912806537
DifficultyUsingHandsFingers_Level,0.30679495912806537
DifficultyCommunicating_Level,0.3067098092643052
DifficultyWalkingClimbingSteps_Level,0.3067098092643052
DifficultyRememberingConcentrating_Level,0.3067098092643052
DifficultySeeingWithGlasses_Level,0.3067098092643052
AdultEnhancedDisabilityIndicator,0.30662465940054495
AdultDisabilityIndicator,0.30662465940054495
DifficultyHearingWithAid_Level,0.30662465940054495
Frequency_ModerateActivity.1,0.30577316076294275
Frequency_VigorousActivity.1,0.30577316076294275
BloodSugarTest_Last3Years,0.29291553133514986
WeekendSleepHours,0.2858480926430518
WeekdaySleepHours,0.28576294277929154
WorkExperience_LastWeek,0.2775034059945504
WeightOneYearAgo,0.2774182561307902
TriedToLoseWeight_Past12Months,0.2774182561307902
MealPlanningResponsibility,0.2774182561307902
MealPreparationSharing,0.2774182561307902
FoodShoppingResponsibility,0.2774182561307902
FoodShoppingSharing,0.2774182561307902
CurrentHeight,0.2774182561307902
CurrentWeight,0.2774182561307902
CurrentlyTaking_CholesterolMedication,0.27639645776566757
EverTold_HighCholesterol,0.27639645776566757
EverTold_Hypertension,0.27639645776566757
WeekendWakeTime,0.2761410081743869
WeekendSleepTime,0.2761410081743869
WeekdayWakeTime,0.2761410081743869
WeekdaySleepTime,0.2761410081743869
LanguageSpokenAtHome_1,0.26779632152588556
FamilyPovertyLevelIndex_Ratio,0.2471900544959128
QuestionnaireModeFlag,0.23237397820163488
FamilyPovertyLevelIndex_Categories,0.12329700272479564
MoreThan5000_InSavings,0.12295640326975477
NumberOfRooms_Home,0.11103542234332425
NumberOfPeopleSmokingInHome,0.10967302452316076
UsualPlace_Type,0.10396798365122616
EverTold_HepatitisB,0.08957765667574932
NoHealthInsurance_Past12Months,0.07867847411444141
MentalHealthVisit_Past12Months,0.04896117166212534
Diabetes,0.02486376021798365
EverReceived_HepatitisAVaccine,0.015241825613079019
PrescriptionMedication_Used_Last30Days,0.00212874659400545
Has_HealthInsurance,0.0019584468664850135
OverallHealth_TeethAndGums,0.0004257493188010899
MouthPain_Frequency_LastYear,0.0004257493188010899
HearingStatus_NoAid,0.0003405994550408719
AnemiaTreatment_Last3Months,0.00025544959128065393
HayFeverEpisode_Past12Month,8.514986376021798e-05
EverTold_Asthma,8.514986376021798e-05
Following_AspirinAdvice,0.0
CurrentlyTaking_BloodPressureMedication,0.0
ConfirmedHypertension_Visits,0.0
TypeOfArthritis,0.0
TelehealthAppointment_Past12Months,0.0
HasUsualPlace_ForCare,0.0
GeneralHealth_Status,0.0
SEQN,0.0
