File,Variable,Correlation_With_Diabetes
functioning,DifficultyWalkingClimbingSteps_Level,-0.19432672844803592
functioning,DifficultyWalkingWithoutAssistance_Level,
health_insurance,EverTold_Diabetes,1.0
health_insurance,HealthInsurance_Private,0.05445053789162583
health_insurance,Has_HealthInsurance,0.016694218447181962
health_insurance,SEQN,0.00523596228749171
health_insurance,NoHealthInsurance_Past12Months,-0.0013128298140588084
health_insurance,HealthInsurance_Medicare,
health_insurance,HealthInsurance_MediGap,
health_insurance,HealthInsurance_Medicaid,
health_insurance,HealthInsurance_CHIP,
health_insurance,HealthInsurance_Military,
health_insurance,HealthInsurance_StateSponsoredHealthPlan,
health_insurance,HealthInsurance_OtherGovernmentInsurance,
hepatitis,EverTold_Diabetes,1.0
hepatitis,SEQN,0.0062265078672579
hepatitis,EverTold_HepatitisB,-0.0020433295609304934
hospital_utilization_access_to_care,EverTold_Diabetes,1.0
hospital_utilization_access_to_care,TelehealthAppointment_Past12Months,0.06848935462222036
hospital_utilization_access_to_care,HasUsualPlace_ForCare,0.03418221087604731
hospital_utilization_access_to_care,MentalHealthVisit_Past12Months,0.008306754046507072
hospital_utilization_access_to_care,SEQN,0.00523596228749171
hospital_utilization_access_to_care,UsualPlace_Type,-0.013385614012783405
hospital_utilization_access_to_care,GeneralHealth_Status,-0.20049394911022955
housing_characteristics,EverTold_Diabetes,1.0
housing_characteristics,SEQN,0.00523596228749171
housing_characteristics,NumberOfRooms_Home,0.0012262954750222252
immunization,EverTold_Diabetes,1.0
immunization,EverReceived_HepatitisAVaccine,0.0229701279727666
immunization,EverReceived_HPVTreatment_Girls,0.010424907883435294
immunization,SEQN,0.0051942877656001776
immunization,NumberOfHPVDosesReceived,-0.002893802169183634
immunization,AgeAtFirstHPVDose,-0.00967678861910893
immunization,EverReceived_HPVTreatment_Boys,-0.01850642912816777
income,EverTold_Diabetes,1.0
income,FamilyPovertyLevelIndex_Ratio,0.015560702464856075
income,SEQN,0.00523596228749171
income,TotalSavings_CashAssets,-0.005704232326556602
income,FamilyPovertyLevelIndex_Categories,-0.010707485646747228
income,MoreThan5000_InSavings,-0.032901108214227384
kidney_condition_urology,EverTold_Diabetes,1.0
kidney_condition_urology,EverTold_KidneyFailure,0.09379243937112772
kidney_condition_urology,LeakageWithUrgency_12Months,0.08661724866840036
kidney_condition_urology,DialysisReceived_12Months,0.04243801032418008
kidney_condition_urology,LeakageWithActivity_12Months,0.015122511868471947
kidney_condition_urology,SEQN,0.007596727825551597
kidney_condition_urology,UrineLeakageAmount,-0.09147701062248798
kidney_condition_urology,NightUrinationFrequency_30Days,-0.10793382597897903
kidney_condition_urology,UrineLeakageFrequency,-0.10849728917994587
kidney_condition_urology,ImpactOfLeakageOnLife_12Months,-0.11384184165844394
medical_conditions,EverTold_Diabetes,1.0
medical_conditions,EverTold_Arthritis,0.09932334392017343
medical_conditions,StillHave_LiverCondition,0.06893012628990973
medical_conditions,EverHad_GallbladderSurgery,0.06377001806259142
medical_conditions,TypeOfLiverCondition_1,0.05957145430326349
medical_conditions,EverTold_Cancer,0.04966575116427933
medical_conditions,AnemiaTreatment_Last3Months,0.04871369401774605
medical_conditions,EverTold_COPD,0.04847048005662175
medical_conditions,TypeOfCancer_2nd,0.048415303604562296
medical_conditions,EverTold_CongestiveHeartFailure,0.04223473240635576
medical_conditions,EverTold_LiverCondition,0.03993612952451731
medical_conditions,EverTold_HeartAttack,0.03612218721310092
medical_conditions,EverTold_ThyroidProblem,0.02848778791558185
medical_conditions,EverTold_Stroke,0.02717659569838893
medical_conditions,EverTold_Gallstones,0.025827866541677458
medical_conditions,EverTold_CoronaryHeartDisease,0.024543709130547958
medical_conditions,HasMetalObjects_InBody,0.024341442940219747
medical_conditions,StillHave_Asthma,0.0240138914775178
medical_conditions,HayFeverEpisode_Past12Month,0.023578579498549575
medical_conditions,EverTold_Asthma,0.02178291434098498
medical_conditions,StillHave_ThyroidProblem,0.011255817709136516
medical_conditions,EverTold_Angina,0.010609787449011338
medical_conditions,PeriodStarted,0.00904438154275881
medical_conditions,SEQN,0.00523596228749171
medical_conditions,TypeOfCancer_3rd,-0.0046216794315238185
medical_conditions,EmergencyVisit_Asthma_Last12Months,-0.012292835772949465
medical_conditions,TypeOfArthritis,-0.01247989279312984
medical_conditions,EverTold_LiverCondition.1,-0.014193847466837231
medical_conditions,TypeOfCancer_1st,-0.022804657041035806
medical_conditions,AsthmaEpisode_Last12Months,-0.03778308673042306
medical_conditions,TypeOfLiverCondition_2,
medical_conditions,TypeOfLiverCondition_3,
medical_conditions,TypeOfLiverCondition_4,
medical_conditions,TypeOfLiverCondition_5,
medical_conditions,TypeOfLiverCondition_6,
medical_conditions,MoreThan3Cancers,
mental_health_depression_screener,EverTold_Diabetes,1.0
mental_health_depression_screener,SEQN,0.0021641262982611347
mental_health_depression_screener,SelfEsteemIssuesFrequency_2weeks,-0.004195419321837185
mental_health_depression_screener,DifficultyInFunctioningStatus,-0.018194207975797055
mental_health_depression_screener,DepressionFeelingsFrequency_2weeks,-0.023504191778488292
mental_health_depression_screener,ConcentrationProblemsFrequency_2weeks,-0.03043466611450063
mental_health_depression_screener,SuicidalThoughtsFrequency_2weeks,-0.04428602958057028
mental_health_depression_screener,InterestProblemsFrequency_2weeks,-0.045101526180843024
mental_health_depression_screener,FatigueFrequency_2weeks,-0.05148215486895309
mental_health_depression_screener,AppetiteChangesFrequency_2weeks,-0.05234349225234507
mental_health_depression_screener,SleepProblemsFrequency_2weeks,-0.056742907072954624
mental_health_depression_screener,MovementSpeechIssuesFrequency_2weeks,-0.061531787478531975
occupation,EverTold_Diabetes,1.0
occupation,UsuallyWorks35HoursOrMore,0.03685493873071321
occupation,DaysWorkingPerWeek,0.007307406952090815
occupation,SEQN,0.006795208720607292
occupation,HoursWorked_LastWeek,-0.019697472110011036
occupation,MainReasonNotWorking_LastWeek,-0.02172696836542616
occupation,WorkExperience_LastWeek,-0.11533366496959842
oral_health,EverTold_Diabetes,1.0
oral_health,LifeSatisfaction_Impact_TeethIssues,0.08766841405021097
oral_health,DiscomfortEating_TeethIssues,0.07550990549116607
oral_health,AvoidedFoods_TeethIssues,0.061388884692608246
oral_health,JobSchoolImpact_TeethIssues,0.05140204685652875
oral_health,MouthPain_Frequency_LastYear,0.05015570321216198
oral_health,SelfConscious_TeethIssues,0.04489236254740254
oral_health,SEQN,0.00523596228749171
oral_health,OverallHealth_TeethAndGums,-0.13506303489494376
pesticide_use,EverTold_Diabetes,1.0
pesticide_use,ChemicalProductsUsedInHomeForPestControl,0.025525775382359058
pesticide_use,SEQN,0.0013659988299829133
pesticide_use,ChemicalProductsUsedInLawnGarden,-0.009043875046518457
physical_activity,EverTold_Diabetes,1.0
physical_activity,SEQN,0.007337056171453524
physical_activity,Frequency_VigorousActivity,0.00453754409566796
physical_activity,Frequency_ModerateActivity,8.978384548596029e-05
physical_activity,SittingTime_TypicalDay,-0.016706078768438333
physical_activity,Duration_VigorousActivity_PerSession,-0.01938068633205057
physical_activity,Duration_ModerateActivity_PerSession,-0.041897279280420495
physical_activity_youth,EverTold_Diabetes,1.0
physical_activity_youth,ScreenTime_TypicalDay_SchoolYear,0.008008757898419382
physical_activity_youth,SEQN,0.006441452692975185
physical_activity_youth,Days_PhysicallyActive_AtLeast60Min_Last7Days,-0.009317646017964339
prescription_medications,EverTold_Diabetes,1.0
prescription_medications,PrescriptionMedication_Used_Last30Days,0.16368280101467603
prescription_medications,SEQN,0.00523596228749171
prescription_medications,PrescriptionMeds_Count_Last30Days,-0.2860426996409845
preventive_aspirin_use,EverTold_Diabetes,1.0
preventive_aspirin_use,EverTold_TakeAspirin,0.13373956229579823
preventive_aspirin_use,Following_AspirinAdvice,0.05479913207131867
preventive_aspirin_use,TakingAspirinOnOwn,0.047138089998988025
preventive_aspirin_use,SEQN,0.008102766303293398
sleep_disorders,EverTold_Diabetes,1.0
sleep_disorders,WeekendSleepHours,0.01679395247361583
sleep_disorders,SEQN,0.006795208720607292
sleep_disorders,WeekdaySleepHours,-0.014495317802310835
smoking_cigarette_use,EverTold_Diabetes,1.0
smoking_cigarette_use,QuestionnaireModeFlag,0.07592814151087149
smoking_cigarette_use,SmokedAtLeast100CigarettesInLife,0.04471133597596513
smoking_cigarette_use,CigarettesSmokedDays_30Days,0.024422774544654895
smoking_cigarette_use,SEQN,0.006812133960723919
smoking_cigarette_use,TotalCigarettesSmoked,0.0038602153770376938
smoking_cigarette_use,CigarettesPerDayOnSmokingDays_30Days,-0.00993629767500663
smoking_cigarette_use,CurrentCigaretteSmoking,-0.026072112981629467
smoking_cigarette_use,SmokingTypeMenthol,-0.04759397640410158
smoking_cigarette_use,FirstCigaretteAge,
smoking_household_smokers,EverTold_Diabetes,1.0
smoking_household_smokers,SEQN,0.00523596228749171
smoking_household_smokers,NumberOfPeopleSmokingInsideHome,0.0015968258082528443
smoking_household_smokers,NumberOfPeopleSmokingInHome,-0.015482815434846886
smoking_recent_tobacco_use,EverTold_Diabetes,1.0
smoking_recent_tobacco_use,ProductsUsed_4,0.24923684746459707
smoking_recent_tobacco_use,NumberOfDaysSmokedPipe_5Days,0.22239388869990673
smoking_recent_tobacco_use,NumberOfDaysUsedECigarettes_5Days,0.03531711769794498
smoking_recent_tobacco_use,LastCigaretteSmoked,0.03125160826931126
smoking_recent_tobacco_use,TabaccoProduct_5Days,0.02552547478754192
smoking_recent_tobacco_use,UsedAnyTobaccoProduct_5Days,0.01095934308154672
smoking_recent_tobacco_use,CigarettesSmokedPerSmokingDay_5Days,0.004522896370795796
smoking_recent_tobacco_use,SEQN,0.0021015278855063555
smoking_recent_tobacco_use,UsedNicotineReplacement_5Days,-0.004213316794039428
smoking_recent_tobacco_use,UsedSmokelessTobacco_5Days,-0.01459926263257146
smoking_recent_tobacco_use,DaysSmokedCigarettes_5Days,-0.015719718337547033
smoking_recent_tobacco_use,UsedECigarettes_5Days,-0.02484591752311783
smoking_recent_tobacco_use,ProductsUsed_1,-0.060655840378052675
smoking_recent_tobacco_use,NumberOfDaysSmokedWaterPipeHookah_5Days,-0.062277399325194764
smoking_recent_tobacco_use,NumberOfDaysSmokedRegularCigars_5Days,-0.08029602112023435
smoking_recent_tobacco_use,ProductsUsed_2,
smoking_recent_tobacco_use,ProductsUsed_3,
smoking_recent_tobacco_use,ProductsUsed_7,
smoking_recent_tobacco_use,ProductsUsed_5,
smoking_recent_tobacco_use,ProductsUsed_8,
smoking_recent_tobacco_use,ProductsUsed_6,
weight_history,EverTold_Diabetes,1.0
weight_history,TriedToLoseWeight_Past12Months,0.009769013450535399
weight_history,SEQN,0.006795208720607292
weight_history,CurrentHeight,-0.006884585772140783
weight_history,WeightOneYearAgo,-0.009969408233170433
weight_history,CurrentWeight,-0.015950704358521327
